Recommended to have a backup save in case something goes wrong.
-Default save location: C:\USERNAME\Documents\Need for Speed Heat "SaveGame" folder.

###CurrencyItemData###
22087748: 					BankCurrency
35896386: 					SpeedPointsCurrency
63871268: 					EvoCurrency
#########################



###BumperItemData###
3499973589: 					Car_Nissan_SkylineGTRVspecR34_1999_BumperF_SetB
24754755: 					Car_Volkswagen_GolfGTi_2016_BumperR_SetA
780498290: 					Car_Nissan_SkylineGTRVspecR34_1999_BumperR_SetA
4384171: 					Car_Mitsubishi_EvolutionX_2008_BumperF_SetA
27962651: 					Car_Mitsubishi_EvolutionX_2008_BumperR_SetA
2691580: 					Car_Volkswagen_GolfGTi_2016_BumperF_SetA
58016744: 					Car_Subaru_ImprezaWRXSTi_2006_BumperR_SetA
26876618: 					Car_Chevrolet_BelAir_1955_BumperF_SetDGxA
532554066: 					Car_BMW_M3E30Evo2_1988_BumperR_SetA
279733505: 					Car_Nissan_SkylineGTRVspecR34_1999_BumperF_SetF
2799417767: 					Car_Subaru_BRZPremium_2014_BumperR_SetT
790390161: 					Car_Honda_S2000UltimateEdition_2009_BumperR_SetB
35509311: 					Car_Porsche_9912GTRS_2018_BumperF_SetGT2
21144623: 					Car_Nissan_GTR_2017_BumperF_SetR
21552072: 					Car_Chevrolet_BelAir_1955_BumperR_SetDFxA
13033981: 					Car_Mercury_Cougar_1967_BumperR_SetB
31388172: 					Car_Chevrolet_BelAir_1955_BumperF_SetG
2170360981: 					Car_Lotus_ExigeS_2006_BumperF_SetB
2454922691: 					Car_Porsche_911CarreraRSR_1974_BumperF_SetD
52868969: 					Car_Porsche_CarreraS_2014_BumperR_SetGT
224240017: 					Car_BMW_M4_2017_BumperR_SetB
2614164982: 					Car_Nissan_180sxTypeX_1996_BumperR_SetE
46812622: 					Car_BMW_M3E30Evo2_1988_BumperR_SetF
2462957957: 					Car_Acura_RSXS_2004_BumperF_SetB
1469973699: 					Car_BMW_M4_2017_BumperF_SetD
2550539398: 					Car_Dodge_ChallengerSRT_2014_BumperF_SetA
1843441062: 					Car_Honda_CivicTypeR_2000_BumperF_SetA
3691884: 					Car_Porsche_PanameraTurbo_2017_BumperF_SetB
2063833100: 					Car_Volkswagen_GolfGti_1974_BumperF_SetXC
3727414448: 					Car_Nissan_180sxTypeX_1996_BumperR_SetC
3485145731: 					Car_Honda_NSXTypeR_1992_BumperF_SetD
2645925: 					Car_Ferrari_488GTB_2016_BumperR_SetA
10865201: 					Car_Dodge_ChallengerSRT_2014_BumperF_SetXE
